,emb_id,data_type,ImageBind_PCA_x,ImageBind_PCA_y,ImageBind_UMAP_x,ImageBind_UMAP_y,ImageBind_TSNE_x,ImageBind_TSNE_y
151,51,text,0.45753572324692454,-0.10878843237161825,9.824244,0.9134739,13.750293183605388,3.5610159973250943
152,52,text,0.4708136665979205,-0.02504802077387249,-5.144456,4.1446695,13.395769017069592,-4.548143905517645
153,53,text,0.4875358591370388,-0.01757888516129603,-5.0725756,4.2561536,14.137883935821474,-4.493975763521088
154,54,text,0.4623705943764705,0.0697790803993364,-4.763678,4.714285,15.038614913266173,-3.523037101678025
155,55,text,0.36512453098126596,-0.3177801434193463,16.184467,-9.673931,26.921137821370653,-0.2211212506268284
156,56,text,0.5650160095218726,-0.22270073453896544,9.988734,0.97530395,14.612361527180992,3.957786206734607
157,57,text,0.5343505572094437,-0.04706810658446286,-4.826599,4.593926,15.040072328751476,-4.614772074916293
158,58,text,0.35816878717575434,-0.22963785187586225,17.342464,-9.213124,25.111612298162353,0.9212853231741129
159,59,text,0.36512453098126596,-0.3177801434193463,16.244236,-9.608332,26.675240859455716,0.2777780374511108
160,60,text,0.492689302387761,-0.06091390927354005,-4.901907,4.6107297,15.308891675743,-4.249884428448667
161,61,text,0.5682913381926913,0.012605770512508335,-7.7849183,10.261345,18.826608868754036,-4.863566518951214
162,62,text,0.39049456767953156,-0.3358197304494035,16.858444,-9.286556,26.253685753443392,-0.8131095844371617
163,63,text,0.3189433959168159,-0.17086355345836796,16.965,-9.344906,24.3737552792875,0.19096902277805164
164,64,text,0.3233408248282659,-0.28767960003880466,17.047604,-9.162824,25.634177057244308,-1.5352711012647997
165,65,text,0.5426428402323462,-0.18603881644793152,10.012933,0.76953906,15.006835948929792,3.084425072475089
166,66,text,0.5050178132173258,-0.004539624853390192,-4.9794445,4.3967566,14.32022488799124,-4.478881325112617
167,67,text,0.5350918060877575,-0.20528746956558205,11.027485,0.8713627,15.979478960519181,3.629301224237512
168,68,text,0.39049456767953156,-0.3358197304494035,16.84555,-9.286459,26.25368575313113,-0.8131095846816451
169,69,text,0.4666801810515978,-0.003186369587992496,-7.8396144,11.101245,18.041397402202943,-2.7995882152520517
170,70,text,0.4158309155112147,0.0013634275060071604,-7.7752604,10.206212,20.124946922015774,-5.1026520336847225
171,71,text,0.4546357588999716,-0.30844833084394346,10.761741,1.3101312,15.980426646823595,5.14968283203252
172,72,text,0.47272084519674956,0.009705860827084455,-5.06898,4.056524,13.508595865154094,-4.304887138547193
173,73,text,0.47496994073076954,-0.03491236042397695,-5.191776,4.151592,13.801929420694117,-4.877598258607663
174,74,text,0.5214407674291814,-0.0022556773255121404,-7.6065955,10.649114,18.337175086922723,-5.898577286571938
175,75,text,0.5426428402323462,-0.18603881644793152,9.951991,0.80111206,15.006835948929792,3.0844250724750895
176,76,text,0.3966480864249653,0.017270840511467503,-4.75633,4.974589,14.414419523436932,-6.029031563806575
177,77,text,0.38195369545585656,-0.2360668846222888,10.861731,1.0760822,16.81117386109687,4.4994529800940635
178,78,text,0.36512453098126596,-0.3177801434193463,16.302671,-9.589594,26.921095510859057,-0.2211793752711259
179,79,text,0.5650160095218726,-0.22270073453896544,9.894508,0.9075375,14.606331963157812,3.962462835429517
180,80,text,0.5237062432570293,-0.21320094646902596,10.97978,1.1120306,15.127563146706207,4.2574378812849485
181,81,text,0.5238465114234965,-0.15343895094246998,10.568951,0.7186898,15.645200734933361,2.8828466210046244
182,82,text,0.400045719174808,-0.15698783907863212,10.632341,0.6968012,16.239807760736028,2.825843815569332
183,83,text,0.39015861749983183,-0.31983073128415146,16.933798,-9.282808,25.85180196824119,-0.7506756008312805
184,84,text,0.5574780294892404,0.013093854053674511,-7.3227034,10.880198,17.77572210395657,-5.262350072483559
185,85,text,0.46653739666660327,-0.29119669736961573,10.492875,1.1541317,15.255418171697789,4.8280550886273295
186,86,text,0.16093793621267521,-0.1232157462500424,16.99731,-9.464432,24.48994821971967,1.804097630927446
187,87,text,0.49092752319478566,-0.04157862315619726,-7.551645,10.643803,18.05286206095349,-6.162966725628636
188,88,text,0.5884402596645291,-0.023284460721949517,-7.835889,10.300115,18.462440072739966,-4.191518573164252
189,89,text,0.3022989331866477,0.00020343523540084665,-4.9028673,4.335326,13.440666177552721,-2.9548093649286344
190,90,text,0.42676248191740945,-0.30325657626199326,17.294754,-9.048526,25.372195234889528,-0.7267384701060295
191,91,text,0.3883430921680388,-0.2933124333810449,17.27928,-8.977328,25.403342386061038,-0.47215566550013693
192,92,text,0.3932933939951648,0.0069080295980830765,-7.1562047,10.793898,17.094071158961206,-6.3349398285391425
193,93,text,0.473581892508592,-0.07780283787270723,-4.69344,4.896133,14.854235687758653,-5.89478808295902
194,94,text,0.5041455407042355,-0.24550892766086047,11.058073,0.94908464,15.996614077181302,4.306378572060669
195,95,text,0.5571227923333569,-0.06131660282616691,-7.368667,11.237902,17.155002873613803,-4.401909267275193
196,96,text,0.5482285826776266,-0.1922539040892065,9.884243,0.8672713,14.439035009529361,3.0313674942072004
197,97,text,0.42676248191740945,-0.30325657626199326,17.30281,-9.091599,25.31849518372387,-0.6140060570687034
198,98,text,0.5682913378771243,0.012605770258120413,-7.751454,10.208506,18.83315488290853,-4.8603781322642226
199,99,text,0.371690502023463,-0.31797738257009656,16.370253,-9.46799,26.14194818982521,0.22526005187401768
200,0,audio,-0.11808341077744344,0.5009604221540096,6.2798805,5.706155,-1.0259672773782953,-7.041652035078707
201,1,audio,-0.12524189338463396,0.3293998361878095,8.631893,6.5478997,-3.207493546161908,1.0691442728806617
202,2,audio,-0.0005577601675787427,0.0773602082434921,7.595712,7.0448823,0.9428467314356105,-0.3693932573114529
203,3,audio,-0.2110329592097258,0.20589310104125041,9.103168,6.3052692,-5.63896666716913,1.5261674028534218
204,4,audio,-0.04091317823918886,0.33263209730965587,8.156325,5.6461334,-5.176879021461084,-2.643851573824253
205,5,audio,-0.0326960856400342,0.5381648299990747,6.1289034,4.772277,0.589720359629832,-4.440969046850025
206,6,audio,-0.06733341612494911,0.5642461861749447,6.015177,5.2749743,0.2729220157035023,-6.398311944424674
207,7,audio,-0.0939890182419768,0.5374820048915137,6.456906,5.1850452,-1.1301475713618352,-5.770765298618496
208,8,audio,-0.18441500382093942,0.35865285166362726,9.023634,6.2274876,-5.194806815932894,1.43302401527449
209,9,audio,-0.014055621036484259,0.5890763365186448,6.192264,4.7098045,0.5112843213004926,-4.508006970290237
210,10,audio,-0.04261805136947433,0.1142890605928489,8.88808,6.802432,-3.4034910047807356,1.9293363111090716
211,11,audio,-0.035099267125135336,0.2200526814046034,6.138573,5.904374,-1.7294422201161959,-8.906001767280356
212,12,audio,-0.11911194139871092,0.335628797166461,6.698644,5.4904985,-1.7080270053508204,-3.6978160958333794
213,13,audio,-0.05008217829075556,0.5051073386222994,6.087261,5.8940735,-0.9884047491565395,-7.488834716868857
214,14,audio,-0.0698235390663225,0.48235448133803766,6.447658,4.9582434,-0.9934717042558018,-5.235656573277611
215,15,audio,-0.10680958462460438,0.23192137825174147,8.016408,7.028048,-10.017317443311702,6.705517923507615
216,16,audio,-0.13249095327708435,0.40621319133923195,6.289694,4.7775555,-0.6173637571216651,-4.080866714642452
217,17,audio,-0.0891321861673244,0.6104097574591303,5.9316773,5.8250575,0.14812639398765784,-7.691232234623335
218,18,audio,-0.04205720210112599,0.282303746968379,6.659671,6.0630755,-3.172751891872667,-7.9810576800177
219,19,audio,-0.1319656910805428,0.3616507965903787,5.643396,5.755278,1.3875281837428983,-8.726306682771702
220,20,audio,-0.098219609569589,0.38194848301847234,8.068817,6.192822,-2.7674701080267337,-1.224374256732338
221,21,audio,-0.1346135518500392,0.19009425729726956,9.080513,6.389333,-5.101198689920925,1.5106270796544932
222,22,audio,-0.05856030519609247,0.1178689195699612,7.9210663,7.5267153,-1.9250483855858227,5.51655039846081
223,23,audio,-0.1168531290898744,0.18848897082997607,8.939638,6.869639,-4.251365520590928,3.6130255136586635
224,24,audio,-0.025769285057319787,0.22622601285543772,8.846325,7.2047834,1.2005328017716372,3.0677109824172946
225,25,audio,-0.05875653976369718,0.5225731640366463,5.6632757,5.6395698,1.3442251585362235,-8.027915442953368
